Days,No_ofNM
0,1228.2499435846187
1,1044.9266932578266
2,1289.382354790904
3,1682.514304131791
4,1702.802932320421
5,1335.6129319255274
6,1045.6157701921782
7,1206.1812020835007
8,1609.225375115833
9,1739.990749754466
10,1431.6625917490921
11,1079.7025679450367
12,1133.7980010411286
13,1523.7715992060716
