Date,Time,Safety Indicator Value (sec),Road User Arrived First,Road User 1 - Movement,Road User 1 - Type,Road User 1 - Conflict Speed,Road User 1 - Median Speed,Road User 2 - Movement,Road User 2 - Type,Road User 2 - Conflict Speed,Road User 2 - Median Speed
9/13/2019,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764
9/14/2019,930,930,930,930,930,930,930,930,930,930,930
9/15/2019,772,772,772,772,772,772,772,772,772,772,772
9/16/2019,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547
9/17/2019,1471,1471,1471,1471,1471,1471,1471,1471,1471,1471,1471
9/18/2019,1687,1687,1687,1687,1687,1687,1687,1687,1687,1687,1687
9/19/2019,1669,1669,1669,1669,1669,1669,1669,1669,1669,1669,1669
